"DRG Definition","Provider Id","Provider Name","Provider Street Address","Provider City","Provider State","Provider Zip Code","Hospital Referral Region Description","Total Discharges","Average Covered Charges","Average Total Payments","Average Medicare Payments"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",33,33416.9,6372.66,4736.9
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150042,"GOOD SAMARITAN HOSPITAL","520 S 7TH ST","VINCENNES","IN",47591,"IN - Evansville",23,24836.43,7244.95,4716.21
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",30,17997.56,5663.36,4306.36
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150046,"TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","TERRE HAUTE","IN",47802,"IN - Terre Haute",14,38349.07,5944.92,5057.78
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",28,20525.14,6999.53,5648.92
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","BLOOMINGTON","IN",47403,"IN - Indianapolis",40,22212.35,6364.5,4841.17
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",82,35710.81,9764.93,7054.52
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",54,22593.62,7081.64,5442.55
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150059,"RIVERVIEW HOSPITAL","395 WESTFIELD RD","NOBLESVILLE","IN",46060,"IN - Indianapolis",13,19576.38,6245.15,4294.15
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",52,22095.67,5590.67,4476.63
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",68,33676.3,7257.54,5321.48
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150088,"SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","ANDERSON","IN",46016,"IN - Indianapolis",13,25897.23,6041.69,5347.53
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",20,26232,6515.3,5842.5
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",11,23860.63,6066.27,5145.9
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",25,22382.72,5657,4847.08
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150109,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST","1701 S CREASY LN","LAFAYETTE","IN",47905,"IN - Lafayette",26,36539.26,6334.03,5139.19
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150112,"COLUMBUS REGIONAL HOSPITAL","2400 E 17TH ST","COLUMBUS","IN",47201,"IN - Indianapolis",13,19772.92,6579.76,4604.3
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150115,"MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH ST","JASPER","IN",47546,"IN - Evansville",25,9437.52,5504.2,3992.08
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",42,16938.26,6064.52,5187.28
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",18,25106.11,6151.22,4727.61
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150128,"COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","INDIANAPOLIS","IN",46227,"IN - Indianapolis",11,26619.63,5940.36,4203.18
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150153,"ST VINCENT HEART CENTER OF INDIANA LLC","10580 N MERIDIAN ST","INDIANAPOLIS","IN",46290,"IN - Indianapolis",22,25252.5,5516.22,4644.4
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150154,"INDIANA HEART HOSPITAL THE","8075 N SHADELAND AVE","INDIANAPOLIS","IN",46250,"IN - Indianapolis",73,21765.47,5642.27,4543.23
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150162,"FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","8111 S EMERSON AVE","INDIANAPOLIS","IN",46237,"IN - Indianapolis",25,25852.4,6263.72,5370.92
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150164,"MONROE HOSPITAL","4011 S MONROE MEDICAL PARK BLVD","BLOOMINGTON","IN",47403,"IN - Indianapolis",11,32063.18,5417,4393.72
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150173,"INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","5165 MCCARTY LN","LAFAYETTE","IN",47905,"IN - Lafayette",14,30401.78,8782.21,3643.42
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150175,"THE HEART HOSPITAL AT DEACONESS GATEWAY LLC","4007 GATEWAY BLVD","NEWBURGH","IN",47630,"IN - Evansville",30,20321.7,5103,4090.6
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",21,14366.57,6410.57,5768.28
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150004,"FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN",46320,"IN - Munster",21,17380.04,6228.85,5534.19
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150006,"INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","IN",46350,"IN - South Bend",14,19973.85,4912.57,4358
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150007,"HOWARD REGIONAL HEALTH SYSTEM","3500 S LAFOUNTAIN ST","KOKOMO","IN",46904,"IN - Indianapolis",11,14064.18,4850.54,3930.18
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",17,16070.29,5909.05,5050.94
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150015,"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","IN",46360,"IN - Gary",13,17362,5231.69,4191.69
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",13,30213.46,6167.23,5047.53
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",13,18234.84,5580,4544.92
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",14,23074.92,5370.78,4571.35
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",19,13450,5394.26,4502.26
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150024,"WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","IN",46202,"IN - Indianapolis",25,9702.4,8332.16,7482.08
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",15,15451.93,4840.13,4016.4
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",35,17179.68,5423.4,4688.65
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",19,30063.26,5479.47,4814.21
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",12,15675.16,5209.25,3603.5
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",12,7692.75,5574.58,4414.58
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","BLOOMINGTON","IN",47403,"IN - Indianapolis",44,15281.72,5356.9,4460.09
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",82,25641.39,9448.01,7035.62
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",93,17649.1,6139.08,5442.16
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",23,23985.47,5286.91,3933.39
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",38,25157.63,6268.02,5438.13
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150086,"DEARBORN COUNTY HOSPITAL","600 WILSON CREEK RD","LAWRENCEBURG","IN",47025,"OH - Cincinnati",13,10767.84,5239.46,4455.76
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150088,"SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","ANDERSON","IN",46016,"IN - Indianapolis",14,11348.28,5217.92,4661.07
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",26,17747.61,5632.84,4938.69
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",22,17437,6274.95,4237.72
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",29,15000.41,4968.75,4049.41
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","ANDERSON","IN",46011,"IN - Indianapolis",13,10426.07,5210.3,4342
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",37,15102.18,5324.64,4597.72
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",41,18612.56,5902.73,4186.65
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150158,"IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","AVON","IN",46123,"IN - Indianapolis",13,18670.07,7398.15,3304.46
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150169,"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN",46256,"IN - Indianapolis",12,17308.83,5397.75,4459.75
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150173,"INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","5165 MCCARTY LN","LAFAYETTE","IN",47905,"IN - Lafayette",12,18389.25,4630.75,3792.41
"057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",150177,"UNITY MEDICAL AND SURGICAL HOSPITAL","4455 EDISON LAKES PKWY","MISHAWAKA","IN",46545,"IN - South Bend",47,9818.65,4780,4023.46
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",73,32944.45,13122.53,11866.68
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150003,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","LAFAYETTE","IN",47904,"IN - Lafayette",17,30440.17,9941.11,9219.94
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150004,"FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","IN",46320,"IN - Munster",18,39870.27,12484.77,11866.55
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150006,"INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","IN",46350,"IN - South Bend",13,38683.15,9614.53,8927.76
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150008,"ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","IN",46312,"IN - Munster",16,30548.5,12329.68,11818.75
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",15,20470.13,10171.4,9492.2
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150010,"ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","KOKOMO","IN",46904,"IN - Indianapolis",21,30241.19,10269.66,9525.66
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",32,32727.37,11920.96,11115.34
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150015,"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","IN",46360,"IN - Gary",15,27177.26,10734.2,8894.73
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",48,45559.72,11272.06,10367.52
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",27,29029.74,10649.33,9869.14
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",66,35038.65,11732.07,9784.07
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",31,31317.51,10740.8,10068.87
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150024,"WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","IN",46202,"IN - Indianapolis",25,36001.64,18639.52,17874.88
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150026,"IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","GOSHEN","IN",46526,"IN - South Bend",11,31520.54,9475.81,8661.27
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150033,"FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE","1600 ALBANY ST","BEECH GROVE","IN",46107,"IN - Indianapolis",29,30206.44,10024.58,9222.31
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",21,29043.61,10728.57,9819.8
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150035,"PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","VALPARAISO","IN",46383,"IN - Gary",18,29878.05,10124.61,9345.61
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150042,"GOOD SAMARITAN HOSPITAL","520 S 7TH ST","VINCENNES","IN",47591,"IN - Evansville",29,19465.27,9242.86,8619.41
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","IN",47150,"KY - Louisville",56,34394.35,10148.28,9523.92
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150046,"TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","TERRE HAUTE","IN",47802,"IN - Terre Haute",12,41172.08,10834.33,10093
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150048,"REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY","RICHMOND","IN",47374,"IN - Indianapolis",33,19038.84,11757.72,10534.12
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","601 W SECOND ST","BLOOMINGTON","IN",47403,"IN - Indianapolis",33,26521.09,10854.36,10009.39
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150056,"INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","INDIANAPOLIS","IN",46206,"IN - Indianapolis",156,46301.26,16664.23,15003.96
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150058,"MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST","SOUTH BEND","IN",46601,"IN - South Bend",42,39663.88,13690.83,11720.5
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150059,"RIVERVIEW HOSPITAL","395 WESTFIELD RD","NOBLESVILLE","IN",46060,"IN - Indianapolis",11,42248.54,11085.9,8771.72
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150065,"SCHNECK MEDICAL CENTER","411 W TIPTON ST","SEYMOUR","IN",47274,"IN - Indianapolis",12,17868.91,9932.25,8991.58
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150074,"COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","INDIANAPOLIS","IN",46219,"IN - Indianapolis",30,31243.13,12521.66,11060.26
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150082,"DEACONESS HOSPITAL INC","600 MARY ST","EVANSVILLE","IN",47747,"IN - Evansville",65,32644.06,10617.15,8693.72
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150084,"ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","INDIANAPOLIS","IN",46260,"IN - Indianapolis",103,44413.12,12964.61,11688.56
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150088,"SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","ANDERSON","IN",46016,"IN - Indianapolis",24,31731.04,10881.08,10176.25
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE","MUNCIE","IN",47303,"IN - Muncie",44,41315.22,11775.31,10904.25
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150090,"FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET ST","DYER","IN",46311,"IN - Munster",22,37276.45,10954,10243.81
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150097,"MAJOR HOSPITAL","150 W WASHINGTON ST","SHELBYVILLE","IN",46176,"IN - Indianapolis",15,35506.46,11841.33,11021.93
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150100,"ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVE","EVANSVILLE","IN",47750,"IN - Evansville",52,31298.71,10523.23,8947.42
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150109,"FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST","1701 S CREASY LN","LAFAYETTE","IN",47905,"IN - Lafayette",21,40921.66,10792.57,10150.33
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150112,"COLUMBUS REGIONAL HOSPITAL","2400 E 17TH ST","COLUMBUS","IN",47201,"IN - Indianapolis",18,25686.88,10666.83,9858.11
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150113,"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","ANDERSON","IN",46011,"IN - Indianapolis",16,30414.5,12278.68,11575.18
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150115,"MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH ST","JASPER","IN",47546,"IN - Evansville",37,16332.43,9077.7,8293
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150125,"COMMUNITY HOSPITAL","901 MACARTHUR BLVD","MUNSTER","IN",46321,"IN - Munster",44,35406.86,10557.84,9802.88
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150126,"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","1201 S MAIN ST","CROWN POINT","IN",46307,"IN - Gary",33,34227.33,11571.48,10264.27
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150128,"COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","INDIANAPOLIS","IN",46227,"IN - Indianapolis",17,26964.94,9973.23,9448.05
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150158,"IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","AVON","IN",46123,"IN - Indianapolis",19,29548.73,10528.21,9773.57
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150169,"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","INDIANAPOLIS","IN",46256,"IN - Indianapolis",52,34847,10903.42,10168.19
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150173,"INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","5165 MCCARTY LN","LAFAYETTE","IN",47905,"IN - Lafayette",30,43700.1,14395.26,10710.43
"064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",150177,"UNITY MEDICAL AND SURGICAL HOSPITAL","4455 EDISON LAKES PKWY","MISHAWAKA","IN",46545,"IN - South Bend",13,11822.84,9503.84,9245.07
